"","id","symbol","period","interval","start_at","open_time","volume","open","high","low","close","turnover","year","month","day","hour","weekday","shifted"
"1",3762548,"BTCUSDT",240,240,1581940800,1581940800,1758.816,9000,9800,9000,9612.5,16906618.8,2020,2,17,20,0,9597
"2",3762763,"BTCUSDT",240,240,1581955200,1581955200,174.072,9612.5,9652.5,9590,9597,1670568.984,2020,2,18,0,1,9597
"3",3763331,"BTCUSDT",240,240,1581969600,1581969600,0,9597,9597,9597,9597,0,2020,2,18,4,1,9600
"4",3763729,"BTCUSDT",240,240,1581984000,1581984000,747.95,9597,9999,9000,9600,7180320,2020,2,18,8,1,9600
"5",3765119,"BTCUSDT",240,240,1581998400,1581998400,0,9600,9600,9600,9600,0,2020,2,18,12,1,9600
"6",3765519,"BTCUSDT",240,240,1582012800,1582012800,0,9600,9600,9600,9600,0,2020,2,18,16,1,9600
"7",3765918,"BTCUSDT",240,240,1582027200,1582027200,0,9600,9600,9600,9600,0,2020,2,18,20,1,9600
"8",3766319,"BTCUSDT",240,240,1582041600,1582041600,0,9600,9600,9600,9600,0,2020,2,19,0,2,9600
"9",3766719,"BTCUSDT",240,240,1582056000,1582056000,0,9600,9600,9600,9600,0,2020,2,19,4,2,11300
"10",3767118,"BTCUSDT",240,240,1582070400,1582070400,2.205,9600,20000,9600,11300,24916.5,2020,2,19,8,2,10067.5
"11",3769981,"BTCUSDT",240,240,1582084800,1582084800,85.669,11300,20000,10067.5,10067.5,862472.6575,2020,2,19,12,2,10208
"12",3770781,"BTCUSDT",240,240,1582099200,1582099200,215.975,10067.5,10212.5,10039,10208,2204672.8,2020,2,19,16,2,10135
"13",3771579,"BTCUSDT",240,240,1582113600,1582113600,845.485,10208,10249,10086.5,10135,8568990.475,2020,2,19,20,2,10161
"14",3772304,"BTCUSDT",240,240,1582128000,1582128000,476.036,10135,10265.5,10122.5,10161,4837001.796,2020,2,20,0,3,9603
"15",3773176,"BTCUSDT",240,240,1582142400,1582142400,2629.251,10161,10161,9384,9603,25248697.353,2020,2,20,4,3,9568.5
"16",3773970,"BTCUSDT",240,240,1582156800,1582156800,991.401,9603,9647,9522,9568.5,9486220.4685,2020,2,20,8,3,9604
"17",3774770,"BTCUSDT",240,240,1582171200,1582171200,633.015,9568.5,9615,9550,9604,6079476.06,2020,2,20,12,3,9579.5
"18",3775580,"BTCUSDT",240,240,1582185600,1582185600,970.043,9604,9630,9546,9579.5,9292526.9185,2020,2,20,16,3,9584.5
"19",3776373,"BTCUSDT",240,240,1582200000,1582200000,354.619,9579.5,9604.5,9539,9584.5,3398845.8055,2020,2,20,20,3,9535.5
"20",3777163,"BTCUSDT",240,240,1582214400,1582214400,1885.794,9584.5,9665.5,9438.5,9535.5,17981988.687,2020,2,21,0,4,9602.5
"21",3777920,"BTCUSDT",240,240,1582228800,1582228800,463.943,9535.5,9637,9535.5,9602.5,4455012.6575,2020,2,21,4,4,9690
"22",3778689,"BTCUSDT",240,240,1582243200,1582243200,544.976,9602.5,9696.5,9584.5,9690,5280817.44,2020,2,21,8,4,9677
"23",3779568,"BTCUSDT",240,240,1582257600,1582257600,374.263,9690,9725,9660,9677,3621743.051,2020,2,21,12,4,9703.5
"24",3780367,"BTCUSDT",240,240,1582272000,1582272000,181.957,9677,9703.5,9630,9703.5,1765619.7495,2020,2,21,16,4,9721.5
"25",3781103,"BTCUSDT",240,240,1582286400,1582286400,512.63,9703.5,9740,9696,9721.5,4983532.545,2020,2,21,20,4,9683
"26",3781961,"BTCUSDT",240,240,1582300800,1582300800,218.672,9721.5,9721.5,9670,9683,2117400.976,2020,2,22,0,5,9680.5
"27",3782772,"BTCUSDT",240,240,1582315200,1582315200,708.129,9683,9702,9609.5,9680.5,6855042.7845,2020,2,22,4,5,9671.5
"28",3783569,"BTCUSDT",240,240,1582329600,1582329600,85.39,9680.5,9692.5,9645,9671.5,825849.385,2020,2,22,8,5,9614
"29",3784332,"BTCUSDT",240,240,1582344000,1582344000,249.873,9671.5,9671.5,9574,9614,2402279.022,2020,2,22,12,5,9633.5
"30",3785146,"BTCUSDT",240,240,1582358400,1582358400,185.397,9614,9652,9612.5,9633.5,1786021.9995,2020,2,22,16,5,9635
"31",3785965,"BTCUSDT",240,240,1582372800,1582372800,212.45,9633.5,9659.5,9626,9635,2046955.75,2020,2,22,20,5,9671
"32",3786765,"BTCUSDT",240,240,1582387200,1582387200,77.494,9635,9674.5,9635,9671,749444.474,2020,2,23,0,6,9685
"33",3787567,"BTCUSDT",240,240,1582401600,1582401600,71.16,9671,9693.5,9671,9685,689184.6,2020,2,23,4,6,9746
"34",3788173,"BTCUSDT",240,240,1582416000,1582416000,119.295,9685,9746,9685,9746,1162649.07,2020,2,23,8,6,9891.5
"35",3789152,"BTCUSDT",240,240,1582430400,1582430400,564.583,9746,9923,9746,9891.5,5584572.7445,2020,2,23,12,6,9835
"36",3789926,"BTCUSDT",240,240,1582444800,1582444800,546.43,9891.5,10002,9835,9835,5374139.05,2020,2,23,16,6,9910.5
"37",3790773,"BTCUSDT",240,240,1582459200,1582459200,64.08,9835,9910.5,9835,9910.5,635064.84,2020,2,23,20,6,9899.5
"38",3791485,"BTCUSDT",240,240,1582473600,1582473600,38.22,9910.5,9910.5,9868.5,9899.5,378358.89,2020,2,24,0,0,9963
"39",3792303,"BTCUSDT",240,240,1582488000,1582488000,394.662,9899.5,9963,9857,9963,3932017.506,2020,2,24,4,0,9768.5
"40",3793155,"BTCUSDT",240,240,1582502400,1582502400,1679.792,9963,9980.5,9587,9768.5,16409048.152,2020,2,24,8,0,9748.5
